NCM,Início de vigência,Fim de vigência
09021000,01/01/2016,
09022000,01/01/2016,
09023000,01/01/2016,
09024000,01/01/2016,
09030010,01/01/2016,
09030090,01/01/2016,
09041100,01/01/2016,
09041200,01/01/2016,
09042100,01/01/2016,
09042200,01/01/2016,
09051000,01/01/2016,
09052000,01/01/2016,
09061100,01/01/2016,
09061900,01/01/2016,
09062000,01/01/2016,
09071000,01/01/2016,
09072000,01/01/2016,
09081100,01/01/2016,
09081200,01/01/2016,
09082100,01/01/2016,
09082200,01/01/2016,
09083100,01/01/2016,
09083200,01/01/2016,
09092100,01/01/2016,
09092200,01/01/2016,
09093100,01/01/2016,
09093200,01/01/2016,
09096110,01/01/2016,
09096120,01/01/2016,
09096190,01/01/2016,
09096210,01/01/2016,
09096220,01/01/2016,
09096290,01/01/2016,
09101100,01/01/2016,
09101200,01/01/2016,
09102000,01/01/2016,
09103000,01/01/2016,
09109100,01/01/2016,
09109900,01/01/2016,
10011100,01/01/2016,
10011900,01/01/2016,
10019100,01/01/2016,
10019900,01/01/2016,
10021000,01/01/2016,
10029000,01/01/2016,
10031000,01/01/2016,
10039010,01/01/2016,
10039080,01/01/2016,
10039090,01/01/2016,
10041000,01/01/2016,
10049000,01/01/2016,
10051000,01/01/2016,
10059010,01/01/2016,
10059090,01/01/2016,
10061010,01/01/2016,
10061091,01/01/2016,
10061092,01/01/2016,
10062010,01/01/2016,
10062020,01/01/2016,
10063011,01/01/2016,
10063019,01/01/2016,
10063021,01/01/2016,
10063029,01/01/2016,
10064000,01/01/2016,
10071000,01/01/2016,
10079000,01/01/2016,
10081010,01/01/2016,
10081090,01/01/2016,
10082110,01/01/2016,
10082190,01/01/2016,
10082910,01/01/2016,
10082990,01/01/2016,
10083010,01/01/2016,
10083090,01/01/2016,
10084010,01/01/2016,
10084090,01/01/2016,
10085010,01/01/2016,
10085090,01/01/2016,
10086010,01/01/2016,
10086090,01/01/2016,
10089010,01/01/2016,
10089090,01/01/2016,
11010010,01/01/2016,
11010020,01/01/2016,
11022000,01/01/2016,
11029000,01/01/2016,
11031100,01/01/2016,
11031300,01/01/2016,
11031900,01/01/2016,
11032000,01/01/2016,
11041200,01/01/2016,
11041900,01/01/2016,
11042200,01/01/2016,
11042300,01/01/2016,
11042900,01/01/2016,
11043000,01/01/2016,
11051000,01/01/2016,
11052000,01/01/2016,
11061000,01/01/2016,
11062000,01/01/2016,
11063000,01/01/2016,
11071010,01/01/2016,
11071020,01/01/2016,
11072010,01/01/2016,
11072020,01/01/2016,
11081100,01/01/2016,
11081200,01/01/2016,
11081300,01/01/2016,
11081400,01/01/2016,
11081900,01/01/2016,
11082000,01/01/2016,
11090000,01/01/2016,
12011000,01/01/2016,
12019000,01/01/2016,
12023000,01/01/2016,
12024100,01/01/2016,
12024200,01/01/2016,
12030000,01/01/2016,
12040010,01/01/2016,
12040090,01/01/2016,
12051010,01/01/2016,
12051090,01/01/2016,
12059010,01/01/2016,
12059090,01/01/2016,
12060010,01/01/2016,
12060090,01/01/2016,
12071010,01/01/2016,
12071090,01/01/2016,
12072100,01/01/2016,
12072900,01/01/2016,
12073010,01/01/2016,
12073090,01/01/2016,
12074010,01/01/2016,
12074090,01/01/2016,
12075010,01/01/2016,
12075090,01/01/2016,
12076010,01/01/2016,
12076090,01/01/2016,
12077010,01/01/2016,
12077090,01/01/2016,
12079110,01/01/2016,
12079190,01/01/2016,
12079910,01/01/2016,
12079990,01/01/2016,
12081000,01/01/2016,
12089000,01/01/2016,
12091000,01/01/2016,
12092100,01/01/2016,
12092200,01/01/2016,
12092300,01/01/2016,
12092400,01/01/2016,
12092500,01/01/2016,
12092900,01/01/2016,
12093000,01/01/2016,
12099100,01/01/2016,
12099900,01/01/2016,
12101000,01/01/2016,
12102010,01/01/2016,
12102020,01/01/2016,
12112000,01/01/2016,
12113000,01/01/2016,
12114000,01/01/2016,
12115000,01/01/2017,
12119010,01/01/2016,
12119090,01/01/2016,
12122100,01/01/2016,
12122900,01/01/2016,
12129100,01/01/2016,
12129200,01/01/2016,
12129300,01/01/2016,
12129400,01/01/2016,
12129910,01/01/2016,
12129990,01/01/2016,
12130000,01/01/2016,
12141000,01/01/2016,
12149000,01/01/2016,
13012000,01/01/2016,
13019010,01/01/2016,
13019090,01/01/2016,
13021110,01/01/2016,
13021190,01/01/2016,
13021200,01/01/2016,
13021300,01/01/2016,
13021400,01/01/2017,
13021910,01/01/2016,
13021920,01/01/2016,
13021930,01/01/2016,
13021940,01/01/2016,
13021950,01/01/2016,
13021960,01/01/2016,
13021991,01/01/2016,
13021999,01/01/2016,
13022010,01/01/2016,
13022090,01/01/2016,
13023100,01/01/2016,
13023211,01/01/2016,
13023219,01/01/2016,
13023220,01/01/2016,
13023910,01/01/2016,
13023990,01/01/2016,
14011000,01/01/2016,
14012000,01/01/2016,
14019000,01/01/2016,
14042010,01/01/2016,
14042090,01/01/2016,
14049010,01/01/2016,
14049090,01/01/2016,
15011000,01/01/2016,
15012000,01/01/2016,
15019000,01/01/2016,
15021011,01/01/2016,
15021012,01/01/2016,
15021019,01/01/2016,
15021090,01/01/2016,
15029000,01/01/2016,
15030000,01/01/2016,
15041011,01/01/2016,
15041019,01/01/2016,
15041090,01/01/2016,
15042000,01/01/2016,
15043000,01/01/2016,
15050010,01/01/2016,
15050090,01/01/2016,
15060000,01/01/2016,
15071000,01/01/2016,
15079011,01/01/2016,
15079019,01/01/2016,
15079090,01/01/2016,
15081000,01/01/2016,
15089000,01/01/2016,
15091000,01/01/2016,
15099010,01/01/2016,
15099090,01/01/2016,
15100000,01/01/2016,
15111000,01/01/2016,
15119000,01/01/2016,
15121110,01/01/2016,
15121120,01/01/2016,
15121911,01/01/2016,
15121919,01/01/2016,
15121920,01/01/2016,
15122100,01/01/2016,
15122910,01/01/2016,
15122990,01/01/2016,
15131100,01/01/2016,
15131900,01/01/2016,
15132110,01/01/2016,
15132120,01/01/2016,
15132910,01/01/2016,
15132920,01/01/2016,
15141100,01/01/2016,
15141910,01/01/2016,
15141990,01/01/2016,
15149100,01/01/2016,
15149910,01/01/2016,
15149990,01/01/2016,
15151100,01/01/2016,
15151900,01/01/2016,
15152100,01/01/2016,
15152910,01/01/2016,
15152990,01/01/2016,
15153000,01/01/2016,
15155000,01/01/2016,
15159010,01/01/2016,
15159021,01/01/2016,
15159022,01/01/2016,
15159090,01/01/2016,
15161000,01/01/2016,
15162000,01/01/2016,
15171000,01/01/2016,
15179010,01/01/2016,
15179090,01/01/2016,
15180010,01/01/2016,
15180090,01/01/2016,
15200010,01/01/2016,
15200020,01/01/2016,
15211000,01/01/2016,
15219011,01/01/2016,
15219019,01/01/2016,
15219090,01/01/2016,
15220000,01/01/2016,
16010000,01/01/2016,
16021000,01/01/2016,
16022000,01/01/2016,
16023100,01/01/2016,
16023210,01/01/2016,
16023220,01/01/2016,
16023230,01/01/2016,
16023290,01/01/2016,
16023900,01/01/2016,
16024100,01/01/2016,
16024200,01/01/2016,
16024900,01/01/2016,
16025000,01/01/2016,
16029000,01/01/2016,
16030000,01/01/2016,
16041100,01/01/2016,
16041200,01/01/2016,
16041310,01/01/2016,
16041390,01/01/2016,
16041410,01/01/2016,
16041420,01/01/2016,
16041430,01/01/2016,
16041500,01/01/2016,
16041600,01/01/2016,
16041700,01/01/2016,
16041800,01/01/2017,
16041900,01/01/2016,
16042010,01/01/2016,
16042020,01/01/2016,
16042030,01/01/2016,
16042090,01/01/2016,
16043100,01/01/2016,
16043200,01/01/2016,
16051000,01/01/2016,
16052100,01/01/2016,
16052900,01/01/2016,
16053000,01/01/2016,
16054000,01/01/2016,
16055100,01/01/2016,
16055200,01/01/2016,
16055300,01/01/2016,
16055400,01/01/2016,
16055500,01/01/2016,
16055600,01/01/2016,
16055700,01/01/2016,
16055800,01/01/2016,
16055900,01/01/2016,
16056100,01/01/2016,
16056200,01/01/2016,
16056300,01/01/2016,
16056900,01/01/2016,
17011200,01/01/2016,
17011300,01/01/2016,
17011400,01/01/2016,
17019100,01/01/2016,
17019900,01/01/2016,
17021100,01/01/2016,
17021900,01/01/2016,
17022000,01/01/2016,
17023011,01/01/2016,
17023019,01/01/2016,
17023020,01/01/2016,
17024010,01/01/2016,
17024020,01/01/2016,
17025000,01/01/2016,
17026010,01/01/2016,
17026020,01/01/2016,
17029000,01/01/2016,
17031000,01/01/2016,
17039000,01/01/2016,
17041000,01/01/2016,
17049010,01/01/2016,
17049020,01/01/2016,
17049090,01/01/2016,
18010000,01/01/2016,
18020000,01/01/2016,
18031000,01/01/2016,
18032000,01/01/2016,
18040000,01/01/2016,
18050000,01/01/2016,
18061000,01/01/2016,
18062000,01/01/2016,
18063110,01/01/2016,
18063120,01/01/2016,
18063210,01/01/2016,
18063220,01/01/2016,
18069000,01/01/2016,
19011010,01/01/2016,
19011020,01/01/2016,
19011030,01/01/2016,
19011090,01/01/2016,
19012000,01/01/2016,
19019010,01/01/2016,
19019020,01/01/2016,
19019090,01/01/2016,
19021100,01/01/2016,
19021900,01/01/2016,
19022000,01/01/2016,
19023000,01/01/2016,
19024000,01/01/2016,
19030000,01/01/2016,
19041000,01/01/2016,
19042000,01/01/2016,
19043000,01/01/2016,
19049000,01/01/2016,
19051000,01/01/2016,
19052010,01/01/2016,
19052090,01/01/2016,
19053100,01/01/2016,
19053200,01/01/2016,
19054000,01/01/2016,
19059010,01/01/2016,
19059020,01/01/2016,
19059090,01/01/2016,
20011000,01/01/2016,
20019000,01/01/2016,
20021000,01/01/2016,
20029010,01/01/2016,
20029090,01/01/2016,
20031000,01/01/2016,
20039000,01/01/2016,
20041000,01/01/2016,
